,PROCESS_DATE,SCID,PORTFOLIO,ESTIMATE_TO_ACTUAL
62,2020-10-02,MS84,VCEP ESG International Stock Pool Select,0
63,2020-10-13,PK73,Target Retirement 2045,0
64,2019-02-26,WJ68,LifeStrategy Moderate Growth,0
65,2020-03-17,RV91,Target Retirement Income Trust,0
66,2020-08-03,BX99,VCEP European Stock Select,0
67,2019-05-29,LF34,VCEP Income Pool Standard,0
68,2020-10-09,GF79,Institutional Target Retirement 2025,0
69,2020-01-22,GT42,Diversified Equity,0
70,2020-03-13,GI46,Institutional Target Retirement 2050,0
71,2019-09-04,EZ71,Target Retirement 2015,0
72,2019-08-06,BZ66,VCEP Conservative Growth Select,0
73,2020-09-28,LB27,Managed Payout,0
74,2020-04-28,JI82,Target Retirement 2040 Trust,0
75,2020-06-30,TP59,VCEP Moderate Growth Select,0
76,2019-01-23,ZM95,VCEP Total US Stock Select,0
77,2019-10-07,CE55,VCEP Emerging Markets Stock Select,0
78,2019-05-13,IW95,VCEP Pacific Stock,0
79,2019-11-01,ZM95,VCEP Total US Stock Select,0
80,2020-10-05,NR67,VCEP Conservative Growth,0
81,2019-10-14,RP13,VVIF - Conservative Allocation,0
82,2019-06-24,CE55,VCEP Emerging Markets Stock Select,0
83,2020-09-23,RP13,VVIF - Conservative Allocation,0
84,2019-01-30,WQ15,LifeStrategy Growth,0
85,2019-04-10,RK97,VCEP Growth,0
86,2019-08-02,GH33,Institutional Target Retirement 2030,0
87,2020-08-05,GO52,Institutional Target Retirement 2060,0
88,2019-06-11,GH72,Institutional Target Retirement 2035,0
89,2020-04-29,GL58,Institutional Target Retirement 2055,0
90,2019-10-16,GT42,Diversified Equity,0
91,2019-02-19,OR28,VCEP ESG Global Stock Pool Select,0
92,2020-09-18,MK83,VCEP Total Bond Select,0
93,2019-08-05,IW95,VCEP Pacific Stock,0
94,2019-08-15,GI46,Institutional Target Retirement 2050,0
95,2020-05-13,BZ66,VCEP Conservative Growth Select,0
96,2019-07-02,ES45,Target Retirement 2060,0
97,2019-03-14,HB83,VCEP Total US Stock,0
98,2020-02-24,MK83,VCEP Total Bond Select,0
99,2019-11-13,ID15,VCEP Income Pool Select,0
100,2019-07-18,GL58,Institutional Target Retirement 2055,0
101,2019-06-14,WJ68,LifeStrategy Moderate Growth,0
102,2019-04-15,RP13,VVIF - Conservative Allocation,0
103,2019-12-02,TP59,VCEP Moderate Growth Select,0
104,2019-01-24,GP68,VCEP Emerging Markets Stock,0
105,2020-08-24,RA76,Target Retirement 2035,0
106,2019-07-23,VD43,Target Retirement 2055 Trust,0
107,2020-06-26,GQ39,Target Retirement 2065,0
108,2020-08-19,GH72,Institutional Target Retirement 2035,0
109,2020-03-03,JI82,Target Retirement 2040 Trust,0
110,2020-05-14,GF79,Institutional Target Retirement 2025,0
111,2019-04-24,GD89,Institutional Target Retirement 2015,0
112,2019-04-15,BZ66,VCEP Conservative Growth Select,0
113,2020-01-09,IW95,VCEP Pacific Stock,0
114,2020-05-11,BX99,VCEP European Stock Select,0
115,2019-06-17,TP59,VCEP Moderate Growth Select,0
116,2019-07-23,WO29,VCEP ESG Global Stock Pool Standard,0
117,2020-07-31,MS87,VCEP ESG U.S. Stock Pool Select,0
118,2019-11-29,GR73,Target Retirement 2065 Trust,0
119,2020-01-17,BX99,VCEP European Stock Select,0
120,2019-11-11,GF79,Institutional Target Retirement 2025,0
121,2019-10-28,NQ34,VCEP ESG International Stock Pool Standard,0
122,2019-06-10,GQ39,Target Retirement 2065,0
123,2020-03-05,ZD97,VCEP Total International Bond Pool Select,0
124,2019-04-10,HB83,VCEP Total US Stock,0
125,2019-02-04,ZL62,VCEP Total International Stock Select,0
126,2019-05-14,TN68,VCEP Total Bond,0
127,2020-02-25,GD89,Institutional Target Retirement 2015,0
128,2020-05-04,NQ34,VCEP ESG International Stock Pool Standard,0
129,2019-08-19,XC71,VVIF - Moderate Allocation Portfolio,0
130,2019-12-30,BX99,VCEP European Stock Select,0
131,2019-07-19,XQ97,VVIF - Global Bond Index Portfolio,0
132,2020-06-18,RK97,VCEP Growth,0
133,2019-11-13,WJ68,LifeStrategy Moderate Growth,0
134,2020-01-30,GL58,Institutional Target Retirement 2055,0
135,2020-08-27,GQ39,Target Retirement 2065,0
136,2019-02-04,GV13,Target Retirement 2020 Trust,0
137,2019-08-28,UX52,VCEP Total Equity Select,0
138,2019-09-16,BX99,VCEP European Stock Select,0
139,2019-08-09,NR67,VCEP Conservative Growth,0
140,2019-03-05,GO58,Institutional Target Retirement 2065,0
141,2019-05-22,GF79,Institutional Target Retirement 2025,0
142,2020-06-09,RA76,Target Retirement 2035,0
143,2019-06-27,GD89,Institutional Target Retirement 2015,0
144,2020-01-29,JS33,VCEP Balanced Pool Standard,0
145,2019-10-16,EZ71,Target Retirement 2015,0
146,2019-03-11,UX52,VCEP Total Equity Select,0
147,2019-03-13,PJ82,Target Retirement 2030 Trust,0
148,2019-01-23,NR67,VCEP Conservative Growth,0
149,2019-08-08,PK73,Target Retirement 2045,0
150,2020-08-13,CX21,VCEP Money Market,0
151,2020-08-19,WQ15,LifeStrategy Growth,0
152,2020-07-02,RP13,VVIF - Conservative Allocation,0
153,2020-04-20,RK97,VCEP Growth,0
154,2020-09-29,GR73,Target Retirement 2065 Trust,0
155,2020-05-18,PK73,Target Retirement 2045,0
156,2019-12-19,WO29,VCEP ESG Global Stock Pool Standard,0
157,2019-11-20,LS11,VCEP Total Equity,0
158,2020-07-17,FO91,VCEP Growth Select,0
159,2019-07-11,BU54,Target Retirement 2035 Trust,0
160,2019-07-18,GP68,VCEP Emerging Markets Stock,0
161,2020-05-20,VD43,Target Retirement 2055 Trust,0
162,2020-08-27,RP13,VVIF - Conservative Allocation,0
163,2019-06-26,BU54,Target Retirement 2035 Trust,0
164,2019-09-17,GX91,Target Retirement 2060 Trust,0
165,2019-09-09,GX91,Target Retirement 2060 Trust,0
166,2020-04-29,VX99,VCEP Pacific Stock Select,0
167,2019-03-28,GX91,Target Retirement 2060 Trust,0
168,2019-07-15,GP48,Institutional Target Retirement Income,0
169,2020-05-26,ID15,VCEP Income Pool Select,0
170,2020-08-13,RV91,Target Retirement Income Trust,0
171,2019-09-12,GV13,Target Retirement 2020 Trust,0
172,2020-09-08,AZ74,VCEP Total International Bond Pool Standard,0
173,2019-01-29,RA76,Target Retirement 2035,0
174,2019-04-29,DT81,Target Retirement 2040,0
175,2020-08-11,CX21,VCEP Money Market,0
176,2019-04-22,FO91,VCEP Growth Select,0
177,2020-03-02,HB83,VCEP Total US Stock,0
178,2019-09-19,GF79,Institutional Target Retirement 2025,0
179,2020-03-24,VD43,Target Retirement 2055 Trust,0
180,2020-09-23,OW53,VCEP Total International Stock,0
181,2020-10-13,OW53,VCEP Total International Stock,0
182,2019-08-21,GO58,Institutional Target Retirement 2065,0
183,2019-03-21,HB83,VCEP Total US Stock,0
184,2019-05-31,HB83,VCEP Total US Stock,0
185,2020-04-01,MK83,VCEP Total Bond Select,0
186,2019-11-15,GH72,Institutional Target Retirement 2035,0
187,2019-05-30,MS87,VCEP ESG U.S. Stock Pool Select,0
188,2019-09-30,GV13,Target Retirement 2020 Trust,0
189,2020-06-10,GT42,Diversified Equity,0
190,2020-05-15,GX91,Target Retirement 2060 Trust,0
191,2020-05-22,VD43,Target Retirement 2055 Trust,0
192,2020-06-23,EZ71,Target Retirement 2015,0
193,2020-08-12,MK83,VCEP Total Bond Select,0
194,2020-09-21,CF14,LifeStrategy Conservative Growth,0
195,2020-08-11,ZD97,VCEP Total International Bond Pool Select,0
196,2019-05-13,NL73,STAR,0
197,2019-08-20,WJ68,LifeStrategy Moderate Growth,0
198,2020-06-24,GX91,Target Retirement 2060 Trust,0
199,2020-02-20,ZD97,VCEP Total International Bond Pool Select,0
200,2020-08-25,AR74,Target Retirement 2020,0
201,2019-05-17,DR43,LifeStrategy Income,0
202,2020-07-14,OK18,VCEP Short-Term Bond,0
203,2019-07-30,AY24,VCEP Short-Term Bond Select,0
204,2019-07-17,ID15,VCEP Income Pool Select,0
205,2019-06-13,FO91,VCEP Growth Select,0
206,2020-08-13,AZ74,VCEP Total International Bond Pool Standard,0
207,2020-05-19,ZS87,Target Retirement 2055,0
208,2020-06-22,PJ82,Target Retirement 2030 Trust,0
209,2020-08-06,CX21,VCEP Money Market,0
210,2019-05-16,TP59,VCEP Moderate Growth Select,0
211,2019-02-13,GT42,Diversified Equity,0
212,2019-09-20,TN68,VCEP Total Bond,0
213,2019-05-17,GI46,Institutional Target Retirement 2050,0
214,2020-03-17,ZD97,VCEP Total International Bond Pool Select,0
215,2020-08-03,TP59,VCEP Moderate Growth Select,0
216,2019-04-10,CF48,Target Retirement 2050,0
217,2019-07-10,GL58,Institutional Target Retirement 2055,0
218,2020-08-03,BA68,Target Retirement 2025 Trust,0
219,2019-08-19,ZL62,VCEP Total International Stock Select,0
220,2020-06-08,VG84,Target Retirement 2025,0
221,2019-03-20,ZD97,VCEP Total International Bond Pool Select,0
222,2019-11-22,BA68,Target Retirement 2025 Trust,0
223,2019-02-12,EE12,VCEP Balanced Pool Select,0
224,2019-04-24,FO91,VCEP Growth Select,0
225,2020-06-29,GR73,Target Retirement 2065 Trust,0
226,2019-08-12,OM24,Target Retirement Income,0
227,2019-01-23,RV91,Target Retirement Income Trust,0
228,2019-05-17,DT81,Target Retirement 2040,0
229,2019-01-25,NR67,VCEP Conservative Growth,0
230,2019-10-25,GO52,Institutional Target Retirement 2060,0
231,2020-03-23,XQ97,VVIF - Global Bond Index Portfolio,0
232,2019-07-10,ZZ55,Target Retirement 2050 Trust,0
233,2020-02-06,VD43,Target Retirement 2055 Trust,0
234,2019-07-26,KC47,VCEP Wellington Pool Standard,0
235,2020-04-20,PK73,Target Retirement 2045,0
236,2020-03-27,ZD97,VCEP Total International Bond Pool Select,0
237,2019-01-30,GX91,Target Retirement 2060 Trust,0
238,2019-03-18,BU54,Target Retirement 2035 Trust,0
239,2020-04-03,GF52,Institutional Target Retirement 2020,0
240,2019-03-22,GH33,Institutional Target Retirement 2030,0
241,2019-12-20,BA68,Target Retirement 2025 Trust,0
242,2020-02-11,ZZ55,Target Retirement 2050 Trust,0
243,2019-03-08,ZS87,Target Retirement 2055,0
244,2019-07-30,XQ97,VVIF - Global Bond Index Portfolio,0
245,2019-12-03,GR73,Target Retirement 2065 Trust,0
246,2019-09-05,GT42,Diversified Equity,0
247,2019-05-02,TN68,VCEP Total Bond,0
248,2019-04-11,MI13,VCEP Money Market Select,0
249,2019-10-29,RK97,VCEP Growth,0
250,2020-08-18,MK83,VCEP Total Bond Select,0
251,2020-02-26,AR74,Target Retirement 2020,0
252,2019-11-04,MK83,VCEP Total Bond Select,0
253,2019-04-01,NR67,VCEP Conservative Growth,0
254,2019-09-09,FF72,VCEP Moderate Growth,0
255,2019-04-24,LB27,Managed Payout,0
256,2020-01-16,JS33,VCEP Balanced Pool Standard,0
257,2019-02-15,OR28,VCEP ESG Global Stock Pool Select,0
258,2019-02-07,LF34,VCEP Income Pool Standard,0
259,2019-10-31,RV91,Target Retirement Income Trust,0
260,2020-03-10,RV91,Target Retirement Income Trust,0
261,2019-12-30,XQ97,VVIF - Global Bond Index Portfolio,0
262,2019-01-29,GO52,Institutional Target Retirement 2060,0
263,2020-01-03,GR73,Target Retirement 2065 Trust,0
264,2020-08-12,GV13,Target Retirement 2020 Trust,0
265,2020-04-09,GF79,Institutional Target Retirement 2025,0
266,2020-04-09,JI82,Target Retirement 2040 Trust,0
267,2019-06-26,JI82,Target Retirement 2040 Trust,0
268,2019-11-21,OW53,VCEP Total International Stock,0
269,2019-06-24,GX91,Target Retirement 2060 Trust,0
270,2019-10-24,GQ39,Target Retirement 2065,0
271,2019-06-19,GF52,Institutional Target Retirement 2020,0
272,2019-01-18,AR74,Target Retirement 2020,0
273,2020-08-12,BU54,Target Retirement 2035 Trust,0
274,2020-09-08,RV91,Target Retirement Income Trust,0
275,2019-11-11,ZD97,VCEP Total International Bond Pool Select,0
276,2020-04-23,PJ82,Target Retirement 2030 Trust,0
277,2019-07-22,TN68,VCEP Total Bond,0
278,2019-05-01,MK83,VCEP Total Bond Select,0
279,2019-05-08,AR74,Target Retirement 2020,0
280,2020-06-03,BA68,Target Retirement 2025 Trust,0
281,2019-06-07,GI46,Institutional Target Retirement 2050,0
282,2020-03-06,VD43,Target Retirement 2055 Trust,0
283,2020-05-15,MI13,VCEP Money Market Select,0
284,2020-05-04,ID15,VCEP Income Pool Select,0
285,2020-10-12,HB83,VCEP Total US Stock,0
286,2020-09-16,KC47,VCEP Wellington Pool Standard,0
287,2019-11-20,GH86,Institutional Target Retirement 2040,0
288,2020-09-08,DT81,Target Retirement 2040,0
289,2020-06-19,OM24,Target Retirement Income,0
290,2020-05-06,GX91,Target Retirement 2060 Trust,0
291,2019-07-26,PK73,Target Retirement 2045,0
292,2019-12-06,LS11,VCEP Total Equity,0
293,2020-04-06,LS11,VCEP Total Equity,0
294,2020-03-30,KD51,VVIF - Total International Stock Market Index,0
295,2019-09-04,OK18,VCEP Short-Term Bond,0
296,2019-04-10,PK73,Target Retirement 2045,0
297,2019-05-31,XQ97,VVIF - Global Bond Index Portfolio,0
298,2019-08-08,PJ82,Target Retirement 2030 Trust,0
299,2020-07-07,MS87,VCEP ESG U.S. Stock Pool Select,0
300,2019-12-11,SC81,Target Retirement 2030,0
301,2020-03-06,DR43,LifeStrategy Income,0
302,2020-07-30,RV91,Target Retirement Income Trust,0
303,2019-02-21,TN68,VCEP Total Bond,0
304,2020-07-28,AZ74,VCEP Total International Bond Pool Standard,0
305,2019-01-18,AZ74,VCEP Total International Bond Pool Standard,0
306,2020-04-20,KN63,VCEP ESG U.S. Stock Pool,0
307,2019-05-14,KN63,VCEP ESG U.S. Stock Pool,0
308,2019-08-07,CF48,Target Retirement 2050,0
309,2020-06-19,DT81,Target Retirement 2040,0
310,2020-03-05,AR74,Target Retirement 2020,0
311,2019-05-23,OK18,VCEP Short-Term Bond,0
312,2019-07-18,WQ15,LifeStrategy Growth,0
313,2019-07-08,FF72,VCEP Moderate Growth,0
314,2019-03-07,RP13,VVIF - Conservative Allocation,0
315,2020-06-05,VG84,Target Retirement 2025,0
316,2020-06-26,TP59,VCEP Moderate Growth Select,0
317,2020-01-03,OM24,Target Retirement Income,0
318,2019-09-03,CX21,VCEP Money Market,0
319,2020-08-26,XC71,VVIF - Moderate Allocation Portfolio,0
320,2020-02-10,MK83,VCEP Total Bond Select,0
321,2019-08-19,GF79,Institutional Target Retirement 2025,0
322,2019-01-29,BJ34,Target Retirement 2045 Trust,0
323,2019-06-27,EZ71,Target Retirement 2015,0
324,2020-08-21,ES45,Target Retirement 2060,0
325,2020-01-06,NR67,VCEP Conservative Growth,0
326,2019-06-11,WO29,VCEP ESG Global Stock Pool Standard,0
327,2019-06-28,XC71,VVIF - Moderate Allocation Portfolio,0
328,2020-08-26,NR67,VCEP Conservative Growth,0
329,2020-09-24,PK73,Target Retirement 2045,0
330,2020-04-27,CF14,LifeStrategy Conservative Growth,0
331,2020-07-27,OM24,Target Retirement Income,0
332,2019-08-21,ZL62,VCEP Total International Stock Select,0
333,2019-05-22,GV13,Target Retirement 2020 Trust,0
334,2019-02-27,GF52,Institutional Target Retirement 2020,0
335,2019-12-30,KC47,VCEP Wellington Pool Standard,0
336,2020-06-19,BJ34,Target Retirement 2045 Trust,0
337,2020-01-02,HB83,VCEP Total US Stock,0
338,2019-09-25,BJ34,Target Retirement 2045 Trust,0
339,2019-10-18,NL73,STAR,0
340,2019-05-20,GO58,Institutional Target Retirement 2065,0
341,2020-05-12,BU54,Target Retirement 2035 Trust,0
342,2019-09-23,MS87,VCEP ESG U.S. Stock Pool Select,0
343,2019-09-27,GO58,Institutional Target Retirement 2065,0
344,2020-10-15,GD89,Institutional Target Retirement 2015,0
345,2020-05-07,GF79,Institutional Target Retirement 2025,0
346,2020-08-17,FO91,VCEP Growth Select,0
347,2020-03-03,LF34,VCEP Income Pool Standard,0
348,2019-04-22,PJ82,Target Retirement 2030 Trust,0
349,2019-06-10,GH33,Institutional Target Retirement 2030,0
350,2019-07-05,GF79,Institutional Target Retirement 2025,0
351,2020-07-30,GR73,Target Retirement 2065 Trust,0
352,2019-05-31,IS98,VVIF - Total Stock Market Index,0
353,2019-03-18,CF14,LifeStrategy Conservative Growth,0
354,2019-11-11,AR74,Target Retirement 2020,0
355,2019-02-05,GO58,Institutional Target Retirement 2065,0
356,2019-04-29,AR74,Target Retirement 2020,0
357,2019-04-29,MK83,VCEP Total Bond Select,0
358,2019-05-17,GT42,Diversified Equity,0
359,2019-07-23,MK83,VCEP Total Bond Select,0
360,2020-09-18,PK73,Target Retirement 2045,0
361,2020-02-28,IW95,VCEP Pacific Stock,0
362,2020-10-08,GP48,Institutional Target Retirement Income,0
363,2019-01-25,UX52,VCEP Total Equity Select,0
364,2019-02-27,GP68,VCEP Emerging Markets Stock,0
365,2020-09-01,GO52,Institutional Target Retirement 2060,0
366,2020-02-21,GQ39,Target Retirement 2065,0
367,2020-06-10,RK97,VCEP Growth,0
368,2019-02-26,CF14,LifeStrategy Conservative Growth,0
369,2020-02-03,MK83,VCEP Total Bond Select,0
370,2020-08-28,AZ74,VCEP Total International Bond Pool Standard,0
371,2019-12-30,GT42,Diversified Equity,0
372,2019-06-13,XC71,VVIF - Moderate Allocation Portfolio,0
373,2019-06-03,KC47,VCEP Wellington Pool Standard,0
374,2019-02-04,BZ66,VCEP Conservative Growth Select,0
375,2020-01-09,XQ97,VVIF - Global Bond Index Portfolio,0
376,2019-11-18,GI25,Institutional Target Retirement 2045,0
377,2019-02-12,GH33,Institutional Target Retirement 2030,0
378,2019-10-28,IW95,VCEP Pacific Stock,0
379,2020-06-17,OK18,VCEP Short-Term Bond,0
380,2020-09-16,GT42,Diversified Equity,0
381,2019-08-16,GL58,Institutional Target Retirement 2055,0
382,2019-03-14,FF72,VCEP Moderate Growth,0
383,2020-06-11,IS98,VVIF - Total Stock Market Index,0
384,2019-02-19,VG84,Target Retirement 2025,0
385,2020-03-16,GP48,Institutional Target Retirement Income,0
386,2020-01-03,FF72,VCEP Moderate Growth,0
387,2020-01-07,AY24,VCEP Short-Term Bond Select,0
388,2020-08-10,LS11,VCEP Total Equity,0
389,2019-07-09,DR43,LifeStrategy Income,0
390,2020-04-07,WJ68,LifeStrategy Moderate Growth,0
391,2019-12-24,WJ68,LifeStrategy Moderate Growth,0
392,2019-10-14,GX91,Target Retirement 2060 Trust,0
393,2019-11-29,EZ71,Target Retirement 2015,0
394,2019-07-08,GH86,Institutional Target Retirement 2040,0
395,2020-04-09,IQ22,VCEP European Stock,0
396,2019-06-14,ZZ55,Target Retirement 2050 Trust,0
397,2020-07-15,BA68,Target Retirement 2025 Trust,0
398,2019-04-26,GO58,Institutional Target Retirement 2065,0
399,2019-06-07,PJ33,Target Retirement 2015 Trust,0
400,2020-01-02,RP13,VVIF - Conservative Allocation,0
401,2019-06-13,CF48,Target Retirement 2050,0
402,2020-04-29,ZL62,VCEP Total International Stock Select,0
403,2020-07-09,XC71,VVIF - Moderate Allocation Portfolio,0
404,2019-03-28,GP68,VCEP Emerging Markets Stock,0
405,2020-02-26,GI25,Institutional Target Retirement 2045,0
406,2020-10-07,KN63,VCEP ESG U.S. Stock Pool,0
407,2020-08-21,GT42,Diversified Equity,0
408,2020-07-22,ES45,Target Retirement 2060,0
409,2019-04-15,TP59,VCEP Moderate Growth Select,0
410,2019-04-17,UH89,VCEP Wellington Pool Select,0
411,2020-05-28,GP68,VCEP Emerging Markets Stock,0
412,2019-09-26,NR67,VCEP Conservative Growth,0
413,2020-08-24,GT42,Diversified Equity,0
414,2020-08-25,RK97,VCEP Growth,0
415,2020-10-01,ZS87,Target Retirement 2055,0
416,2020-09-14,KD51,VVIF - Total International Stock Market Index,0
417,2020-06-11,ZL62,VCEP Total International Stock Select,0
418,2020-08-14,MK83,VCEP Total Bond Select,0
419,2020-02-13,GX91,Target Retirement 2060 Trust,0
420,2019-10-04,XQ97,VVIF - Global Bond Index Portfolio,0
421,2019-02-08,IQ22,VCEP European Stock,0
422,2019-01-25,ID15,VCEP Income Pool Select,0
423,2019-07-23,PJ82,Target Retirement 2030 Trust,0
424,2019-06-03,OK18,VCEP Short-Term Bond,0
425,2019-04-25,BJ34,Target Retirement 2045 Trust,0
426,2019-08-20,GH86,Institutional Target Retirement 2040,0
427,2019-02-22,CF14,LifeStrategy Conservative Growth,0
428,2019-10-28,BJ34,Target Retirement 2045 Trust,0
429,2020-07-29,GO58,Institutional Target Retirement 2065,0
430,2020-01-03,IS98,VVIF - Total Stock Market Index,0
431,2020-02-03,GX91,Target Retirement 2060 Trust,0
432,2019-12-30,MK83,VCEP Total Bond Select,0
433,2019-02-28,MK83,VCEP Total Bond Select,0
434,2020-06-16,NR67,VCEP Conservative Growth,0
435,2019-06-13,ZL62,VCEP Total International Stock Select,0
436,2019-09-26,WO29,VCEP ESG Global Stock Pool Standard,0
437,2020-03-04,VG84,Target Retirement 2025,0
438,2019-04-11,VX99,VCEP Pacific Stock Select,0
439,2019-05-22,GI25,Institutional Target Retirement 2045,0
440,2019-02-06,AZ74,VCEP Total International Bond Pool Standard,0
441,2020-07-09,GD89,Institutional Target Retirement 2015,0
442,2019-06-17,IW95,VCEP Pacific Stock,0
443,2020-04-09,OK18,VCEP Short-Term Bond,0
444,2019-06-10,GO58,Institutional Target Retirement 2065,0
445,2019-07-29,XC71,VVIF - Moderate Allocation Portfolio,0
446,2020-05-14,LB27,Managed Payout,0
447,2019-11-19,BJ34,Target Retirement 2045 Trust,0
448,2020-10-15,FO91,VCEP Growth Select,0
449,2019-10-23,AZ74,VCEP Total International Bond Pool Standard,0
450,2019-10-14,SC81,Target Retirement 2030,0
451,2020-08-27,GH33,Institutional Target Retirement 2030,0
452,2019-10-10,AR74,Target Retirement 2020,0
453,2019-09-12,AR74,Target Retirement 2020,0
454,2019-01-29,FF72,VCEP Moderate Growth,0
455,2019-05-20,VD43,Target Retirement 2055 Trust,0
456,2020-02-19,BU54,Target Retirement 2035 Trust,0
457,2020-08-25,MS87,VCEP ESG U.S. Stock Pool Select,0
458,2020-07-08,PK73,Target Retirement 2045,0
459,2020-09-17,KC47,VCEP Wellington Pool Standard,0
460,2019-01-23,AR74,Target Retirement 2020,0
461,2020-03-11,GF52,Institutional Target Retirement 2020,0
462,2019-08-09,ES45,Target Retirement 2060,0
463,2020-04-03,EE12,VCEP Balanced Pool Select,0
464,2020-02-14,GH86,Institutional Target Retirement 2040,0
465,2019-12-02,RA76,Target Retirement 2035,0
466,2019-09-18,GT42,Diversified Equity,0
467,2020-08-10,XC71,VVIF - Moderate Allocation Portfolio,0
468,2019-09-10,XC71,VVIF - Moderate Allocation Portfolio,0
469,2019-05-15,XC71,VVIF - Moderate Allocation Portfolio,0
470,2020-06-12,MS84,VCEP ESG International Stock Pool Select,0
471,2019-10-09,NQ34,VCEP ESG International Stock Pool Standard,0
472,2019-10-10,ZL62,VCEP Total International Stock Select,0
473,2020-07-22,ZL62,VCEP Total International Stock Select,0
474,2019-11-25,BZ66,VCEP Conservative Growth Select,0
475,2020-07-28,BJ34,Target Retirement 2045 Trust,0
476,2019-06-26,GL58,Institutional Target Retirement 2055,0
477,2019-09-20,KD51,VVIF - Total International Stock Market Index,0
478,2020-05-12,ES45,Target Retirement 2060,0
479,2019-04-04,BA68,Target Retirement 2025 Trust,0
480,2019-08-06,KD51,VVIF - Total International Stock Market Index,0
481,2020-04-24,VX99,VCEP Pacific Stock Select,0
482,2020-01-14,RP13,VVIF - Conservative Allocation,0
483,2020-09-01,TP59,VCEP Moderate Growth Select,0
484,2020-06-22,GX91,Target Retirement 2060 Trust,0
485,2019-12-30,GI25,Institutional Target Retirement 2045,0
486,2020-01-23,GO52,Institutional Target Retirement 2060,0
487,2019-10-18,DR43,LifeStrategy Income,0
488,2020-08-25,EZ71,Target Retirement 2015,0
489,2020-06-25,OR28,VCEP ESG Global Stock Pool Select,0
490,2019-03-29,GF79,Institutional Target Retirement 2025,0
491,2019-01-24,OK18,VCEP Short-Term Bond,0
